item,top_words,rating_1_to_5,suggested_label
1,"image, system, feature, detection, classification, accuracy, dataset, cnn, data, technique",,
2,"power, energy, system, network, wind, grid, demand, neural, neural network, control",,
3,"resource, data, review, ai, management, engineer, risk, bias, strategy, quality",,
4,"predict, power, data, complex, dynamic, analysis, prediction, performance, network, neural_network",,
5,"control, nepal, area, data, patient, change, one, controller, forecast, region",,
6,"stock, price, market, trading, forecasting, stock market, regularization, strategy, financial, learning",,
7,"detection, learning, network, security, data, attacks, machine, cybersecurity, machine learning, cloud",,
8,"ai, intelligence, artificial intelligence, artificial, healthcare, health, medical, review, treatment, clinical",,
9,"detection, models, leaf, learning, accuracy, deep, model, deep learning, disease, classification",,
10,"area, data, accuracy, nepal, prediction, landslide, factor, environmental, region, value",,
11,"water, data, forest, machine, land, machine learning, learning, model, nepal, area",,
12,"student, ai, financial, education, digital, data, technology, university, learn, influence",,
13,"system, technology, network, framework, artificial_intelligence, security, application, integration, threat, social",,
14,"ai, student, education, tool, learn, financial, technology, digital, generative_ai, skill",,
15,"data, analysis, factor, prediction, construction, performance, predict, control, value, estimate",,
16,"agriculture, yield, crop, nutrient, farming, irrigation, agricultural, technologies, monitoring, management",,
17,"ai, tool, genai, chatgpt, learn, llm, content, generative_ai, agent, misinformation",,
18,"images, cancer, model, segmentation, deep, deep learning, image, learning, accuracy, detection",,
19,"ai, resource, system, analysis, data, review, application, quality, interaction, process",,
20,"nepali, system, image, language, model, text, recognition, dataset, news, accuracy",,
21,"drug, molecular, inhibitors, cancer, discovery, chemical, ai, compounds, screening, binding",,
22,"ai, digital, education, artificial, intelligence, artificial intelligence, students, nepal, tools, learning",,
23,"controller, system, network, power, control, energy, framework, fuzzy, attack, reinforcement_learn",,
24,"image, system, feature, text, detection, accuracy, classification, process, dataset, video",,
25,"concrete, strength, construction, compressive strength, compressive, cost, model, building, machine, machine learning",,
26,"disease, pandemic, health, covid, covid 19, 19, machine, cancer, machine learning, prediction",,
27,"system, network, power, material, framework, attack, reinforcement_learn, security, controller, detection",,
28,"control, change, controller, area, disease, covid, vegetation, forest, load, analysis",,
29,"lattice, materials, properties, material, machine learning, machine, features, learning, predicting, parameters",,
30,"data, factor, analysis, construction, resource, quality, automate, risk, human, index",,
31,"data, predict, prediction, performance, analysis, forecast, estimate, construction, accuracy, nepal",,
32,"accuracy, area, classification, data, performance, landslide, random_forest, map, machine_learn, nepal",,
33,"text, news, content, nepali, opinion, sentiment, data, information, emotion, review",,
34,"image, system, detection, feature, accuracy, dataset, classification, cnn, train, performance",,
35,"ai, student, education, tool, learn, financial, generative_ai, technology, skill, influence",,
36,"accuracy, data, performance, classification, prediction, image, detection, dataset, algorithm, technique",,
37,"disease, patient, one, covid, control, care, time, health, hospital, system",,
38,"predict, interaction, complex, dynamic, prediction, robot, stock_market, data, value, graph",,
39,"patient, care, ai, hospital, one, difference, misinformation, baseline, chatgpt, technology",,
