model,topic_id,top_words,llm_draft_label,final_label_EDIT_ME,reviewer_initials,accept_reject_revise
GA-Optimized LDA,0,"control, nepal, area, data, patient, change, one, controller, forecast, region",Regional Forecasting and Control Systems,,,
GA-Optimized LDA,1,"predict, power, data, complex, dynamic, analysis, prediction, performance, network, neural_network",Predictive Modelling of Complex Systems,,,
GA-Optimized LDA,2,"system, technology, network, framework, artificial_intelligence, security, application, integration, threat, social",Energy Infrastructure and Security,,,
GA-Optimized LDA,3,"data, factor, analysis, construction, resource, quality, automate, risk, human, index",Construction and Industrial Analytics,,,
GA-Optimized LDA,4,"ai, student, education, tool, learn, financial, generative_ai, technology, skill, influence",Generative AI in Education,,,
GA-Optimized LDA,5,"accuracy, data, performance, classification, prediction, image, detection, dataset, algorithm, technique",Applied ML for Hazard and Crop Classification,,,
GA-Optimized LDA,6,"image, system, feature, text, detection, accuracy, classification, process, dataset, video","Speech, Text and Vision Recognition",,,
BERTopic,0,"nepali, system, image, language, model, text, recognition, dataset, news, accuracy",Nepali Language and Text Processing,,,
BERTopic,1,"water, data, forest, machine, land, machine learning, learning, model, nepal, area","Land, Water and Forest Remote Sensing",,,
BERTopic,2,"ai, digital, education, artificial, intelligence, artificial intelligence, students, nepal, tools, learning",AI in Education,,,
BERTopic,3,"detection, learning, network, security, data, attacks, machine, cybersecurity, machine learning, cloud",Cybersecurity and Intrusion Detection,,,
BERTopic,4,"images, cancer, model, segmentation, deep, deep learning, image, learning, accuracy, detection",Medical Image Segmentation,,,
BERTopic,5,"ai, intelligence, artificial intelligence, artificial, healthcare, health, medical, review, treatment, clinical",AI in Healthcare,,,
BERTopic,6,"detection, models, leaf, learning, accuracy, deep, model, deep learning, disease, classification",Plant Disease Detection,,,
BERTopic,7,"disease, pandemic, health, covid, covid 19, 19, machine, cancer, machine learning, prediction",COVID-19 and Epidemic Modelling,,,
BERTopic,8,"power, energy, system, network, wind, grid, demand, neural, neural network, control",Power Systems and Energy Forecasting,,,
BERTopic,9,"agriculture, yield, crop, nutrient, farming, irrigation, agricultural, technologies, monitoring, management",Precision Agriculture,,,
BERTopic,10,"stock, price, market, trading, forecasting, stock market, regularization, strategy, financial, learning",Financial Market Forecasting,,,
BERTopic,11,"drug, molecular, inhibitors, cancer, discovery, chemical, ai, compounds, screening, binding",Computational Drug Discovery,,,
BERTopic,12,"lattice, materials, properties, material, machine learning, machine, features, learning, predicting, parameters",Materials Property Prediction,,,
BERTopic,13,"concrete, strength, construction, compressive strength, compressive, cost, model, building, machine, machine learning",Concrete and Structural Engineering,,,
Standard LDA,0,"control, change, controller, area, disease, covid, vegetation, forest, load, analysis",Environmental and Epidemic Control Systems,,,
Standard LDA,1,"predict, interaction, complex, dynamic, prediction, robot, stock_market, data, value, graph",Predictive Modelling of Dynamic Systems,,,
Standard LDA,2,"system, network, power, material, framework, attack, reinforcement_learn, security, controller, detection",Power Networks and Security Control,,,
Standard LDA,3,"resource, data, review, ai, management, engineer, risk, bias, strategy, quality","AI Governance, Risk and Resource Management",,,
Standard LDA,4,"ai, student, education, tool, learn, financial, technology, digital, generative_ai, skill",Generative AI in Education,,,
Standard LDA,5,"accuracy, area, classification, data, performance, landslide, random_forest, map, machine_learn, nepal",Geospatial Hazard Mapping in Nepal,,,
Standard LDA,6,"text, news, content, nepali, opinion, sentiment, data, information, emotion, review",Nepali Text Sentiment and Opinion Mining,,,
Standard LDA,7,"patient, care, ai, hospital, one, difference, misinformation, baseline, chatgpt, technology",AI in Clinical Care and Health Misinformation,,,
Standard LDA,8,"image, system, detection, feature, accuracy, dataset, classification, cnn, train, performance",CNN-Based Image Classification,,,
Standard LDA,9,"data, analysis, factor, prediction, construction, performance, predict, control, value, estimate",Generic Predictive Analytics (low coherence),,,
